Epoch,Loss fuction,Learning accuracy,Learning rate
1,0.867377419,0.815,0.001
2,0.368679223,0.855,0.001
3,0.29817727,0.81,0.001
4,0.268275048,0.855,0.001
5,0.249209798,0.86,0.001
6,0.220549925,0.86,0.001
7,0.218987034,0.88,0.001
8,0.194514138,0.935,0.001
9,0.136970702,0.965,0.001
10,0.125764798,0.935,0.001
11,0.074333972,0.94,0.001
12,0.069856214,0.97,0.001
13,0.042921088,0.985,0.001
14,0.058516104,0.98,0.001
15,0.033826342,0.98,0.001
16,0.036455604,0.96,0.001
17,0.026346089,0.975,0.001
18,0.058839178,0.945,0.001
19,0.052868441,0.99,0.001
20,0.023991774,0.995,0.0005
21,0.023525774,0.98,0.0005
22,0.047062631,0.96,0.0005
23,0.029677004,0.99,0.0005
24,0.02198954,0.99,0.0005
25,0.023181245,0.98,0.0005
26,0.024718575,0.98,0.0005
27,0.02238394,0.99,0.0005
28,0.018936262,0.995,0.0005
29,0.025989398,0.985,0.0005
30,0.012081144,0.99,0.0005
31,0.018416213,0.98,0.0005
32,0.016055142,1,0.0005
33,0.021508683,0.995,0.0005
34,0.015928895,0.98,0.0005
35,0.022233603,0.98,0.0005
36,0.019868597,1,0.0005
37,0.012875571,0.985,0.0005
38,0.013537702,1,0.0005
39,0.017881857,0.995,0.0005
40,0.011757938,0.985,0.00025
41,0.009414994,0.995,0.00025
42,0.009200447,0.985,0.00025
43,0.009381618,0.995,0.00025
44,0.009067952,1,0.00025
45,0.009705473,0.985,0.00025
46,0.00965393,0.985,0.00025
47,0.008600667,0.98,0.00025
48,0.00830487,1,0.00025
49,0.006985099,0.985,0.00025
50,0.007525097,1,0.00025
51,0.006872524,1,0.00025
52,0.009586941,1,0.00025
53,0.010065042,1,0.00025
54,0.006945818,0.995,0.00025
55,0.006177672,0.985,0.00025
56,0.007674419,0.99,0.00025
57,0.00901195,0.98,0.00025
58,0.013954599,0.985,0.00025
59,0.007508403,1,0.00025
60,0.005635216,0.995,0.000125
61,0.005781348,0.995,0.000125
62,0.005712418,0.995,0.000125
63,0.005877477,1,0.000125
64,0.005597752,0.985,0.000125
65,0.007483423,0.995,0.000125
66,0.006980672,0.985,0.000125
67,0.005059044,0.985,0.000125
68,0.004596869,0.985,0.000125
69,0.006287289,0.995,0.000125
70,0.004853102,0.985,0.000125
71,0.005558635,1,0.000125
72,0.005165876,0.995,0.000125
73,0.006901976,0.995,0.000125
74,0.005088215,0.995,0.000125
75,0.004820008,0.995,0.000125
76,0.005457329,0.985,0.000125
77,0.004708504,1,0.000125
78,0.004799344,1,0.000125
79,0.004300573,1,0.000125
80,0.004163218,1,6.25E-05
81,0.004120827,1,6.25E-05
82,0.004092683,1,6.25E-05
83,0.00404853,1,6.25E-05
84,0.004222062,1,6.25E-05
85,0.004348973,0.995,6.25E-05
86,0.004252971,1,6.25E-05
87,0.003766981,1,6.25E-05
88,0.003947758,1,6.25E-05
89,0.00444051,1,6.25E-05
90,0.003646963,0.995,6.25E-05
91,0.003770549,1,6.25E-05
92,0.00414445,0.995,6.25E-05
93,0.003774005,1,6.25E-05
94,0.004167282,0.995,6.25E-05
95,0.003807056,1,6.25E-05
96,0.003782318,1,6.25E-05
97,0.003998031,1,6.25E-05
98,0.003608025,0.995,6.25E-05
99,0.003632067,1,6.25E-05
100,0.004025236,1,3.13E-05
